微博id,微博正文/转发理由,是否原创,情感得分
J61JpuIB4,复习期末的这几天，我从钻五到了钻一。  ,True,3.327957989256
J61Eck4cB,转发理由:恭喜@-席瑾- 1名用户获得【1k】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台 //@_老番茄_:庆祝吃鸡，转发抽1k！明天20点开奖！ 查看图片  ,False,7.041072768816001
J5PbLfDL4,转发理由:庆祝吃鸡，转发抽1k！明天20点开奖！ 查看图片  ,False,1.751244102216
J5InF2nQB,又到了一年两度，万众期待的考前临时抱佛脚时间  ,True,7.4055712036948
J5dfz4Aer,默契挑战！看看我和BOY谁才是真正的好兄弟#YSL212#  _老番茄_的微博视频  ,True,10.257853563626398
J4PiG9jQv,生日快乐，我的偶像 _老番茄_的微博视频  ,True,-1.5835186884039998
J4FBYipCS,儿童节快乐！希望我的脸能变回小时候那么圆润！  原图 ,True,2.4998980278248
J4wyYePK4,失去梦想变成大鸡腿  原图 ,True,10.691034156097299
J4dd11Eu9,决定利用每天上课开小差的时间学一点蒙语。如果下次回内蒙能看懂蒙文了，说明我这学期一定开了很多小差。  原图 ,True,13.214040636815
J3isW0rI4,为什么b站在我要交作业之前上线柯南剧场版。可恶，已经看了一天柯南了。  ,True,11.666422477182307
J2xp6awdt,昨晚失眠睡不着，翻来覆去。四点钟的时候，突然悟到，好像是热得睡不着。于是毅然打开了空调，立马睡着了。  ,True,4.869280964226
J24SoEtY3,转发理由:给我的好弟弟打call 查看图片 //@最强大脑陆英泽:#最强大脑开播##最强大脑#还有半小时就要开播拉，看不了电视的也可以访问http://t.cn/heFOA收看网络直播  ,False,18.757999070974
J21Fu3W9u,完美还原世界名画！你说我画挑战。天猫搜索OPPO官方旗舰店get同款耳机  _老番茄_的微博视频  ,True,27.79602031190401
J1MEqeim1,藏在黑影中的小怪兽 _老番茄_的微博视频  ,True,13.0113564837478
J18ST6C1n,感谢@腾讯NintendoSwitch 送的国行switch和李维斯联名小夹克儿！耀西真可爱  [组图共3张] 原图 ,True,0.8157435622978
J0Sk0s863,打算做视频之前休息一会→看一眼直播→看到有人在玩奥特曼游戏→勾起回忆→看了一整晚的奥特曼  ,True,14.054463902222
J0yiq4que,如何让脸看上去不那么长：强行遮住下巴  原图 ,True,6.054915806592001
IFLa17HLW,分享图片  原图 ,True,20.057459078763994
IFJi17U1F,第一次网课考试，真是有趣的体验。每当抓耳挠腮做不出来的时候，切到会议室，发现同学们也在抓耳挠腮，我就放心了。  ,True,9.460532395609
IFrvR5s3S,还有一天就考试了！开启临时抱佛脚模式！  ,True,8.818706169143
IEGD7qF6t,#世界读书日# 推荐一下《围城》吧，特有意思。高中看的，大学时出门还经常揣着在飞机上重温（虽然最后都睡着了）  ,True,0
IEe5Tcmgr,“猫”  原图 ,True,13.907916380992798
IDVvFlsIp,最近不知道为啥，总感觉提不起劲，很累，明明也没有很忙。是不是我的内心太想返校上学了。  ,True,-0.774714979278
ID0vf6o9V,走到半路下暴雨了，现在是一只瑟瑟发抖的落汤鸡  ,True,7.900647849628
ICRH9yVqC,下课了。明天早上还要起来上课。头发渐渐消失。  ,True,0.936928577561
IC5HDmsgG,他感动的快要哭了。 _老番茄_的微博视频  ,True,12.6009140727118
IBEr6yiAZ,转发理由:致敬，缅怀。  ,False,2.621344163859
IBmMJ84tw,总算做完视频和封面了，但是明天还有早课和作业🙉🙉🙉头发要掉光了！  原图 ,True,14.084339295864
IATPYsQaZ,不知道为什么，看到这只就想笑  原图 ,True,5.53995301691
IArWXyPJo,这周有个四个作业要交（还没开始），如果活过这周，我一定好好做视频  ,True,10.7021951593924
IA9d824l0,我也开始了  原图 ,True,3.926346595606
IznreEWp4,最近外卖点太多了。外卖小哥对我的称呼已经从“张先生”变成了“张哥”，现在是“小张”了。  ,True,2.1652620641599998
IyCF2ojMN,最近天天失眠，所以今天决定睡前做点作业，帮助自己尽快入眠  ,True,10.607268389990999
IyjCEuKjM,晚睡→艰难早起上课→补觉到傍晚→晕乎乎地摸鱼→因为补了觉睡不着→晚睡。  原图 ,True,14.3550810478461
IxdDega6Z,小狗为何愁容满面  原图 ,True,9.2525486982034
IwHHi1DE0,谁能想到，正式开始上网课前一天晚上，我通宵玩了一晚上扫雷。  ,True,1.82635453446387
Iwutv3rHJ,宅在家有什么能拍的生活区视频吗，想不出来！  ,True,12.9795878320004
Iwa4sedea,理完发了，终于重见光明了。  原图 ,True,1.208576322805
