微博id,微博正文/转发理由,是否原创
I9Va8w9Ab,[置顶]补作业 7000W请查收 TFBOYS-易烊千玺的微博视频  ,True
J5Fx4aSdp,好久不见，哥@胡歌 ，一起去看场电影？ #LongTimeNoSee# FIRST青年电影展的秒拍视频  ,True
J5dhzs7rm,今晚八点，@阿玛尼 星品线上发布会，不见不散。  原图 ,True
J4TDnCTGL,转发理由:坚持自我主张，展现自信态度，和我一起成为#无可T代#的自己。@TiffanyAndCo蒂芙尼  ,False
J3RLPvOlZ,谢谢倾听和陪伴，今日收官，我们不说告别。#朋友请听好#  [组图共4张] 原图 ,True
J2k3RgU82,转发理由:今晚七点，@可爱多 线上发布会见。#吃在一起 可爱多了#  ,False
J1UlTqZwI,转发理由:小彤哥新剧明天开播，看起来  ,False
J1JsH6NZ0,#朋友请听好#“湖南地方代表队”上线🤗朋友请听好第10期：千玺李俊濠变湖南代表队！ 谢娜被张颜齐猜崩溃？  [组图共3张] 原图 ,True
J1axn9v32,#相信未来义演# “乐”抚人心，希望这首《南屏晚钟》能给大家带来温暖。 TFBOYS-易烊千玺的微博视频  ,True
J0EKPioaW,#朋友请听好# “在水一方器乐团”直播首秀朋友请听好第9期：“在水一方乐器团”限定营业 何炅假期过后考虑退休？  [组图共4张] 原图 ,True
J0tVnqd5A,转发理由:#因为热爱，尽善而行# 和麦当劳一起，遇见更多美好。  ,False
I9Va8w9Ab,[置顶]补作业 7000W请查收 TFBOYS-易烊千玺的微博视频  ,True
J5Fx4aSdp,好久不见，哥@胡歌 ，一起去看场电影？ #LongTimeNoSee# FIRST青年电影展的秒拍视频  ,True
J5dhzs7rm,今晚八点，@阿玛尼 星品线上发布会，不见不散。  原图 ,True
J4TDnCTGL,转发理由:坚持自我主张，展现自信态度，和我一起成为#无可T代#的自己。@TiffanyAndCo蒂芙尼  ,False
J3RLPvOlZ,谢谢倾听和陪伴，今日收官，我们不说告别。#朋友请听好#  [组图共4张] 原图 ,True
J2k3RgU82,转发理由:今晚七点，@可爱多 线上发布会见。#吃在一起 可爱多了#  ,False
J1UlTqZwI,转发理由:小彤哥新剧明天开播，看起来  ,False
